Strain?,BioRep,Media,Set,No_Cells,Time
WT,1,R,A,1425000,0
WT,2,R,A,1265000,0
Gat201 deletion,1,R,A,640000,0
Gat201 deletion,2,R,A,800000,0
Clone 1,1,R,A,1335000,0
Clone 1,2,R,A,1740000,0
Clone 2,1,R,A,2095000,0
Clone 2,2,R,A,1775000,0
WT,1,R,B,1085000,0
WT,2,R,B,1295000,0
Gat201 deletion,1,R,B,1530000,0
Gat201 deletion,2,R,B,1345000,0
Clone 1,1,R,B,1340000,0
Clone 1,2,R,B,1195000,0
Clone 2,1,R,B,1340000,0
Clone 2,2,R,B,1390000,0
WT,1,R,A,1350000,6
WT,2,R,A,1285000,6
Gat201 deletion,1,R,A,560000,6
Gat201 deletion,2,R,A,640000,6
Clone 1,1,R,A,1625000,6
Clone 1,2,R,A,1130000,6
Clone 2,1,R,A,1480000,6
Clone 2,2,R,A,1375000,6
WT,1,R,A,25000,12
WT,2,R,A,405000,12
Gat201 deletion,1,R,A,895000,12
Gat201 deletion,2,R,A,860000,12
Clone 1,1,R,A,890000,12
Clone 1,2,R,A,1180000,12
Clone 2,1,R,A,875000,12
Clone 2,2,R,A,1220000,12
WT,1,R,B,65000,18
WT,2,R,B,80000,18
Gat201 deletion,1,R,B,750000,18
Gat201 deletion,2,R,B,945000,18
Clone 1,1,R,B,315000,18
Clone 1,2,R,B,350000,18
Clone 2,1,R,B,380000,18
Clone 2,2,R,B,190000,18
WT,1,R,B,10000,24
WT,2,R,B,10000,24
Gat201 deletion,1,R,B,1420000,24
Gat201 deletion,2,R,B,1090000,24
Clone 1,1,R,B,165000,24
Clone 1,2,R,B,165000,24
Clone 2,1,R,B,300000,24
Clone 2,2,R,B,115000,24
WT,1,R,A,55000,36
WT,2,R,A,0,36
Gat201 deletion,1,R,A,460000,36
Gat201 deletion,2,R,A,285000,36
Clone 1,1,R,A,155000,36
Clone 1,2,R,A,205000,36
Clone 2,1,R,A,165000,36
Clone 2,2,R,A,85000,36
WT,1,R,B,0,48
WT,2,R,B,0,48
Gat201 deletion,1,R,B,1280000,48
Gat201 deletion,2,R,B,675000,48
Clone 1,1,R,B,130000,48
Clone 1,2,R,B,60000,48
Clone 2,1,R,B,60000,48
Clone 2,2,R,B,60000,48
WT,1,R,A,0,60
WT,2,R,A,0,60
Gat201 deletion,1,R,A,150000,60
Gat201 deletion,2,R,A,195000,60
Clone 1,1,R,A,150000,60
Clone 1,2,R,A,50000,60
Clone 2,1,R,A,50000,60
Clone 2,2,R,A,65000,60
WT,1,R,B,10000,72
WT,2,R,B,0,72
Gat201 deletion,1,R,B,435000,72
Gat201 deletion,2,R,B,20000,72
Clone 1,1,R,B,20000,72
Clone 1,2,R,B,65000,72
Clone 2,1,R,B,40000,72
Clone 2,2,R,B,420000,72
WT,1,R,A,10000,84
WT,2,R,A,10000,84
Gat201 deletion,1,R,A,145000,84
Gat201 deletion,2,R,A,75000,84
Clone 1,1,R,A,75000,84
Clone 1,2,R,A,60000,84
Clone 2,1,R,A,60000,84
Clone 2,2,R,A,30000,84
