Strain,SampleLabel,Replicate,Filename
WT,KN99a,a,Specimen_001_wt_a.fcs
WTB,KN99b,b,Specimen_001_wt_b.fcs
WTC,KN99c,c,Specimen_001_wt_c.fcs
WTON,KN99ON,ON,"Specimen_o,2f,n_wt_a.fcs"
BR1,CnLT0004.1a,a,Specimen_001_4_1_a.fcs
mCardinal_BR1B,CnLT0004.1b,b,Specimen_001_4_1_b.fcs
mCardinal_BR1C,CnLT0004.1c,c,Specimen_001_4_1_c.fcs
mCardinal_BR1ON,CnLT0004.1ON,ON,"Specimen_o,2f,n_4_1_a.fcs"
BR2,CnLT0004.2a,a,Specimen_001_4_2_a.fcs
mCardinal_BR2B,CnLT0004.2b,b,Specimen_001_4_2_b.fcs
mCardinal_BR2C,CnLT0004.2c,c,Specimen_001_4_2_c.fcs
mCardinal_BR2ON,CnLT0004.2ON,ON,"Specimen_o,2f,n_4_2_a.fcs"
BR3,CnLT0004.3a,a,Specimen_001_4_3_a.fcs
mCardinal_BR3B,CnLT0004.3b,b,Specimen_001_4_3_b.fcs
mCardinal_BR3C,CnLT0004.3c,c,Specimen_001_4_3_c.fcs
mCardinal_BR3ON,CnLT0004.3ON,ON,"Specimen_o,2f,n_4_3_a.fcs"
71A,CnLT0007.1a,a,Specimen_001_7_1_a.fcs
71B,CnLT0007.1b,b,Specimen_001_7_1_b.fcs
71C,CnLT0007.1c,c,Specimen_001_7_1_c.fcs
71ON,CnLT0007.1ON,ON,"Specimen_o,2f,n_7_1_a.fcs"
72A,CnLT0007.2a,a,Specimen_001_7_2_a.fcs
72B,CnLT0007.2b,b,Specimen_001_7_2_b.fcs
72C,CnLT0007.2c,c,Specimen_001_7_2_c.fcs
72ON,CnLT0007.2ON,ON,"Specimen_o,2f,n_7_2_a.fcs"
73A,CnLT0007.3a,a,Specimen_001_7_3_a.fcs
73B,CnLT0007.3b,b,Specimen_001_7_3_b.fcs
73C,CnLT0007.3c,c,Specimen_001_7_3_c.fcs
73ON,CnLT0007.3ON,ON,"Specimen_o,2f,n_7_3_a.fcs"
